;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
15;187;178;180;182;180;175;177;175;179;177;174;173;173;174;177;180;182;181;180;180;179;179;179;178;178;178;178;178;178;177;177;177;177;177;177;177;177;178;178;179;179;180;180;181;181;182;182;183;183;183;183;183;183;183
16;684;713;645;663;694;714;719;751;772;801;792;777;772;773;779;793;805;815;808;806;803;801;800;798;797;797;796;796;795;794;793;792;791;790;790;791;792;793;794;796;799;801;803;806;808;811;813;815;816;817;818;819;819;819
17;1822;1755;1658;1607;1643;1710;1749;1752;1820;1834;1902;1882;1847;1835;1836;1851;1884;1912;1935;1920;1914;1908;1904;1900;1896;1893;1893;1892;1891;1889;1886;1884;1881;1879;1878;1877;1878;1880;1883;1887;1892;1897;1902;1908;1914;1920;1926;1931;1935;1939;1941;1943;1945;1945
18;3982;3892;3523;3530;3422;3498;3638;3721;3727;3814;3843;3984;3943;3869;3845;3848;3879;3947;4005;4054;4023;4010;3999;3989;3980;3973;3967;3966;3964;3961;3958;3953;3947;3942;3937;3934;3934;3936;3940;3947;3955;3964;3975;3986;3998;4011;4023;4035;4045;4054;4062;4067;4072;4074
19;7671;7710;7220;7086;6979;6651;6680;6829;6864;6775;6934;6986;7242;7167;7034;6989;6995;7051;7174;7280;7369;7313;7289;7268;7250;7235;7222;7212;7209;7206;7201;7194;7185;7175;7166;7157;7152;7151;7154;7162;7174;7189;7206;7225;7246;7268;7290;7312;7334;7353;7369;7383;7393;7401
20;12120;12067;11608;11376;11114;10898;10339;10338;10520;10602;10466;10711;10791;11185;11070;10865;10796;10805;10892;11082;11245;11381;11295;11259;11226;11199;11175;11155;11139;11136;11131;11123;11112;11098;11083;11068;11056;11048;11046;11051;11064;11082;11104;11131;11161;11193;11226;11261;11295;11328;11357;11383;11404;11420
21;16372;16302;15593;15471;15234;14952;14730;14041;14105;14457;14570;14383;14719;14829;15370;15213;14931;14836;14849;14968;15229;15453;15640;15522;15472;15427;15390;15357;15329;15308;15303;15296;15286;15271;15252;15231;15211;15194;15183;15180;15188;15205;15230;15261;15297;15338;15382;15428;15475;15523;15568;15608;15643;15672
22;20601;21672;20375;20378;20164;19802;19384;19046;18108;18238;18693;18838;18598;19031;19173;19872;19668;19305;19183;19199;19353;19689;19978;20220;20068;20003;19946;19897;19855;19819;19792;19786;19777;19764;19745;19721;19694;19668;19646;19631;19628;19638;19660;19692;19732;19779;19832;19889;19948;20009;20070;20128;20181;20226
23;25369;25969;25510;25233;25262;25024;24601;24108;23713;22666;22829;23397;23580;23279;23820;23998;24871;24617;24163;24010;24030;24223;24643;25005;25307;25117;25036;24965;24904;24851;24807;24773;24765;24755;24738;24714;24684;24650;24618;24590;24572;24568;24581;24609;24649;24699;24758;24824;24895;24969;25046;25122;25194;25260
24;30214;31262;31048;31399;30901;30779;30334;29671;28929;28578;27320;27516;28199;28418;28057;28708;28922;29972;29666;29120;28937;28961;29194;29699;30134;30497;30269;30172;30086;30013;29949;29896;29855;29847;29834;29813;29785;29749;29709;29670;29637;29615;29610;29625;29659;29707;29767;29838;29918;30003;30093;30185;30276;30364
25;39104;37009;37725;37907;38045;37157;36730;35926;34875;34325;33909;32420;32653;33461;33721;33293;34064;34318;35560;35199;34553;34336;34365;34640;35238;35753;36183;35913;35799;35697;35611;35536;35473;35425;35414;35399;35375;35341;35299;35251;35205;35166;35141;35135;35153;35193;35250;35322;35406;35500;35601;35707;35816;35925
