;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0;376155;381957;386791;383697;382363;381182;380172;379286;378546;377973;377824;377629;377333;376924;376420;375860;375312;374848;374536;374455;374639;375069;375696;376491;377427;378477;379607;380795;382018;383234;384394;385443;386350;387090;387655;388062;388329;388477;388526;388486;388371;388201;388002;387789;387588;387416;387301;387262;387308;387447;387681;388008;388426;388927
1;369068;375832;381639;386478;383390;382063;380889;379886;379006;378272;377704;377561;377371;377080;376676;376176;375621;375077;374618;374310;374233;374420;374854;375484;376283;377222;378275;379407;380598;381824;383042;384205;385256;386166;386908;387476;387885;388154;388304;388356;388318;388205;388037;387840;387629;387429;387259;387146;387108;387156;387297;387532;387860;388280
2;366233;369323;376082;381888;386737;383653;382328;381157;380157;379279;378547;377981;377841;377653;377363;376961;376463;375910;375368;374910;374604;374528;374716;375152;375783;376583;377523;378577;379710;380902;382129;383348;384512;385564;386475;387218;387787;388197;388466;388617;388670;388633;388520;388353;388157;387947;387747;387577;387464;387426;387474;387615;387850;388178
3;366682;366985;370071;376832;382644;387494;384413;383090;381920;380922;380046;379316;378751;378613;378426;378137;377737;377240;376688;376147;375691;375386;375311;375500;375936;376568;377369;378310;379365;380498;381691;382919;384138;385303;386356;387267;388009;388578;388988;389257;389408;389461;389424;389311;389144;388948;388738;388538;388368;388255;388217;388265;388406;388641
4;370052;367572;367875;370965;377726;383539;388390;385311;383990;382822;381825;380951;380222;379658;379522;379336;379048;378649;378153;377602;377062;376607;376303;376229;376418;376855;377488;378289;379231;380287;381420;382614;383842;385062;386227;387280;388191;388933;389502;389912;390181;390332;390385;390348;390235;390068;389872;389662;389462;389292;389179;389141;389189;389330
5;378283;370935;368458;368760;371852;378614;384428;389280;386203;384883;383716;382720;381848;381120;380557;380422;380237;379950;379552;379056;378506;377967;377513;377210;377136;377326;377763;378397;379199;380141;381198;382331;383526;384754;385974;387139;388192;389103;389845;390414;390824;391093;391244;391297;391260;391147;390980;390784;390574;390374;390204;390091;390053;390101
6;383242;379124;371778;369300;369606;372699;379462;385276;390129;387053;385735;384569;383574;382703;381976;381414;381279;381095;380809;380412;379916;379367;378829;378375;378073;378000;378190;378628;379262;380065;381007;382064;383198;384393;385621;386841;388006;389059;389970;390712;391281;391691;391960;392111;392164;392127;392014;391847;391651;391441;391241;391071;390958;390920
7;370058;384128;380012;372664;370191;370498;373592;380356;386171;391024;387949;386632;385467;384473;383603;382877;382316;382182;381998;381713;381317;380821;380273;379735;379282;378980;378908;379098;379537;380171;380975;381917;382974;384109;385304;386532;387752;388917;389970;390881;391623;392192;392602;392871;393022;393075;393038;392925;392758;392562;392352;392152;391982;391869
8;368124;370975;385045;380925;373584;371112;371420;374515;381279;387095;391948;388874;387558;386394;385401;384532;383806;383246;383113;382929;382645;382249;381754;381206;380669;380216;379915;379843;380033;380473;381107;381912;382854;383911;385046;386241;387469;388689;389854;390907;391818;392560;393129;393539;393808;393959;394012;393975;393862;393695;393499;393289;393089;392919
9;360365;369083;371935;386005;381886;374546;372075;372384;375480;382244;388061;392914;389841;388526;387362;386370;385501;384776;384217;384084;383901;383617;383222;382727;382179;381643;381190;380890;380818;381008;381449;382083;382888;383831;384888;386023;387218;388446;389666;390831;391884;392795;393537;394106;394516;394785;394936;394989;394952;394839;394672;394476;394266;394066
10;366254;361384;370103;372955;387025;382907;375568;373098;373408;376505;383269;389086;393940;390868;389553;388390;387398;386530;385806;385247;385115;384932;384649;384254;383760;383212;382676;382224;381924;381853;382043;382484;383119;383924;384867;385924;387059;388254;389482;390702;391867;392920;393831;394573;395142;395552;395821;395972;396025;395988;395875;395708;395512;395302
11;364435;367361;362493;371212;374064;388134;384017;376679;374210;374521;377618;384382;390200;395054;391983;390668;389506;388515;387647;386924;386365;386234;386051;385769;385374;384880;384333;383797;383346;383046;382975;383166;383607;384242;385048;385991;387048;388183;389378;390606;391826;392991;394043;394954;395696;396265;396675;396944;397095;397148;397111;396998;396831;396635
12;356455;365603;368530;363663;372382;375235;389305;385189;377852;375384;375695;378793;385557;391376;396230;393160;391845;390684;389694;388826;388104;387545;387415;387232;386951;386556;386063;385516;384981;384530;384230;384160;384351;384793;385428;386234;387177;388234;389369;390564;391792;393012;394177;395229;396140;396882;397450;397860;398129;398280;398333;398296;398183;398016
13;355042;357658;366806;369734;364868;373587;376441;390510;386395;379060;376593;376904;380003;386767;392586;397441;394372;393057;391897;390908;390040;389319;388761;388631;388449;388168;387774;387281;386735;386200;385750;385450;385381;385572;386014;386649;387455;388398;389455;390590;391785;393013;394233;395398;396450;397361;398103;398671;399081;399350;399501;399554;399517;399404
14;373190;356299;358916;368064;370993;366128;374847;377702;391770;387657;380323;377857;378169;381269;388033;393852;398707;395639;394325;393166;392178;391311;390590;390033;389904;389722;389442;389048;388556;388010;387476;387027;386727;386659;386850;387293;387928;388734;389677;390734;391869;393065;394293;395513;396678;397730;398641;399383;399951;400361;400630;400781;400834;400797
15;379298;374565;357677;360295;369443;372372;367509;376228;379084;393151;389040;381707;379243;379555;382656;389420;395240;400095;397028;395715;394557;393570;392704;391983;391427;391299;391118;390838;390445;389954;389408;388875;388426;388127;388060;388251;388695;389330;390137;391080;392137;393273;394469;395696;396917;398082;399134;400045;400787;401356;401766;402035;402186;402239
16;386993;380746;376015;359131;361749;370897;373827;368966;377685;380542;394608;390499;383168;380705;381018;384120;390884;396704;401560;398494;397182;396025;395039;394174;393454;392899;392771;392591;392312;391920;391430;390884;390352;389904;389605;389539;389731;390175;390811;391618;392562;393619;394756;395952;397180;398401;399567;400619;401531;402273;402842;403253;403522;403674
17;393571;388499;382254;377525;360646;363265;372413;375343;370484;379203;382061;396126;392019;384691;382229;382543;385646;392410;398230;403087;400022;398712;397556;396571;395707;394988;394434;394307;394128;393850;393458;392969;392424;391893;391446;391148;391082;391275;391720;392356;393164;394109;395166;396304;397500;398729;399950;401117;402169;403082;403824;404394;404805;405075
18;396956;394873;389804;383562;378835;361961;364581;373728;376659;371802;380521;383380;397444;393339;386013;383553;383868;386972;393736;399556;404414;401350;400042;398887;397903;397040;396322;395769;395643;395465;395188;394797;394309;393765;393235;392789;392492;392427;392620;393066;393703;394511;395457;396515;397653;398850;400079;401301;402469;403521;404435;405177;405748;406159
19;395776;397932;395851;390785;384546;379822;362953;365575;374721;377653;372799;381518;384378;398440;394338;387014;384556;384873;387977;394742;400562;405421;402358;401052;399898;398916;398054;397337;396785;396661;396484;396208;395818;395331;394788;394259;393814;393518;393454;393648;394095;394733;395541;396488;397547;398685;399883;401113;402335;403504;404557;405471;406214;406786
20;399079;396408;398566;396488;391425;385189;380468;363605;366228;375374;378307;373456;382175;385036;399096;394997;387676;385220;385538;388643;395408;401229;406088;403027;401723;400570;399590;398729;398014;397463;397340;397164;396889;396501;396015;395473;394945;394501;394206;394143;394338;394786;395425;396234;397181;398241;399380;400579;401809;403032;404202;405255;406170;406914
21;391365;399559;396891;399051;396975;391916;385683;380965;364108;366732;375878;378812;373964;382683;385545;399604;395507;388189;385735;386055;389161;395926;401747;406607;403548;402246;401094;400116;399256;398542;397993;397871;397696;397422;397035;396551;396010;395483;395040;394746;394684;394880;395329;395969;396778;397726;398787;399927;401126;402357;403581;404752;405805;406721
22;383456;391942;400136;397471;399632;397559;392503;386274;381559;364708;367333;376479;379414;374569;383288;386151;400209;396114;388799;386347;386669;389776;396541;402362;407223;404166;402866;401715;400739;399880;399167;398620;398499;398325;398052;397667;397184;396644;396118;395676;395383;395322;395519;395969;396610;397420;398368;399430;400571;401771;403002;404227;405399;406452
23;376811;384129;392615;400809;398147;400310;398240;393187;386961;382250;365404;368031;377176;380112;375270;383989;386853;400910;396818;389506;387056;387379;390487;397252;403074;407936;404881;403582;402433;401458;400601;399889;399343;399224;399051;398779;398395;397913;397375;396850;396409;396117;396057;396255;396706;397347;398158;399107;400170;401312;402512;403744;404970;406142
24;398591;377595;384913;393399;401594;398934;401099;399031;393982;387759;383051;366210;368838;377983;380920;376081;384800;387665;401721;397631;390322;387874;388198;391307;398072;403895;408758;405704;404407;403259;402286;401430;400719;400175;400057;399885;399614;399231;398750;398213;397689;397249;396958;396899;397098;397550;398192;399004;399953;401017;402160;403361;404593;405820
