;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0;394415;400303;405453;402210;400745;399511;398458;397533;396762;396166;396013;395813;395508;395084;394559;393976;393405;392923;392599;392518;392716;393171;393832;394671;395656;396762;397952;399202;400489;401769;402990;404094;405050;405829;406426;406857;407140;407298;407352;407313;407195;407020;406814;406594;406385;406207;406089;406051;406102;406250;406498;406844;407285;407813
1;385454;393659;399551;404706;401474;400018;398793;397748;396831;396067;395479;395332;395139;394840;394423;393904;393327;392762;392286;391967;391891;392094;392554;393219;394062;395051;396161;397355;398609;399899;401183;402407;403514;404474;405256;405856;406290;406577;406738;406795;406759;406644;406471;406268;406051;405845;405669;405553;405518;405571;405721;405971;406319;406762
2;384443;385537;393744;399638;404795;401567;400114;398893;397851;396937;396176;395591;395446;395256;394959;394545;394028;393453;392890;392416;392099;392025;392230;392692;393359;394203;395194;396305;397500;398756;400047;401332;402557;403666;404627;405410;406011;406446;406734;406896;406954;406919;406805;406633;406431;406215;406010;405835;405720;405686;405739;405890;406141;406489
3;382993;385305;386401;394609;400504;405663;402438;400987;399768;398728;397816;397057;396473;396330;396142;395846;395433;394918;394344;393783;393310;392994;392921;393127;393590;394258;395103;396095;397207;398402;399659;400951;402237;403462;404572;405533;406316;406917;407352;407640;407802;407860;407825;407711;407539;407337;407121;406916;406741;406626;406592;406645;406796;407047
4;388409;384127;386441;387539;395747;401644;406804;403581;402132;400914;399876;398966;398208;397625;397484;397297;397002;396590;396076;395503;394943;394471;394156;394084;394291;394755;395423;396269;397262;398374;399570;400828;402120;403407;404632;405742;406703;407486;408087;408522;408810;408972;409030;408995;408881;408709;408507;408291;408086;407911;407796;407762;407815;407966
5;395029;389580;385301;387616;388716;396925;402823;407984;404763;403315;402099;401062;400154;399397;398815;398675;398489;398195;397784;397271;396699;396140;395669;395355;395284;395491;395956;396625;397471;398465;399578;400774;402033;403325;404613;405837;406947;407908;408691;409292;409727;410015;410177;410235;410200;410086;409914;409712;409496;409291;409116;409001;408967;409020
6;404996;396146;390700;386423;388739;389841;398051;403950;409112;405892;404446;403231;402196;401289;400533;399952;399813;399628;399335;398925;398413;397841;397283;396813;396500;396429;396637;397102;397772;398619;399613;400727;401923;403182;404475;405763;406987;408097;409058;409841;410442;410877;411165;411327;411385;411350;411236;411064;410862;410646;410441;410266;410151;410117
7;388992;406200;397353;391909;387634;389952;391055;399266;405166;410329;407110;405665;404452;403418;402512;401757;401177;401039;400855;400563;400153;399642;399071;398514;398044;397732;397662;397870;398336;399006;399854;400848;401963;403159;404418;405711;406999;408223;409333;410294;411077;411678;412113;412401;412563;412621;412586;412472;412300;412098;411882;411677;411502;411387
8;386316;390250;407458;398613;393171;388898;391217;392321;400533;406433;411597;408380;406936;405724;404691;403786;403032;402453;402315;402132;401841;401432;400921;400351;399794;399325;399014;398944;399153;399619;400290;401138;402132;403248;404444;405703;406996;408284;409508;410618;411579;412362;412963;413398;413686;413848;413906;413871;413757;413585;413383;413167;412962;412787
9;381873;387666;391601;408809;399966;394526;390255;392575;393680;401893;407793;412958;409742;408299;407088;406056;405152;404399;403821;403684;403501;403211;402803;402292;401723;401167;400698;400388;400318;400528;400994;401666;402514;403508;404625;405821;407080;408373;409661;410885;411995;412956;413739;414340;414775;415063;415225;415283;415248;415134;414962;414760;414544;414339
