;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120
1901;0.1595;0.0307;0.0183;0.0112;0.0086;0.0064;0.005;0.0045;0.0039;0.0036;0.0033;0.0029;0.003;0.003;0.0031;0.0038;0.0041;0.0049;0.0056;0.006;0.0071;0.0079;0.0091;0.0082;0.0076;0.0072;0.0076;0.0072;0.0073;0.0075;0.008;0.0081;0.0086;0.0085;0.0087;0.0096;0.0098;0.0104;0.0106;0.0109;0.0112;0.0111;0.0118;0.0125;0.0125;0.0137;0.0141;0.015;0.015;0.0155;0.018;0.0176;0.0187;0.0199;0.0207;0.0221;0.0229;0.0251;0.0268;0.0272;0.0305;0.0312;0.0357;0.0365;0.0391;0.0428;0.0459;0.0503;0.0549;0.0557;0.0667;0.0668;0.0757;0.0814;0.0929;0.098;0.1023;0.1164;0.1295;0.1281;0.1506;0.1496;0.1822;0.1841;0.2034;0.2036;0.2187;0.2445;0.25;0.2566;0.2823;0.2741;0.2894;0.3036;0.33;0.3048;0.2993;0.3256;0.368;0.3952;0.3833;0.3584;0.426;0.5017;0.3614;0.3101;0.3247;0.3391;0.3535;0.3676;0.3814;0.3949;0.408;0.4207;0.433;0.4447;0.456;0.4667;0.4769;0.4866;0.4958
1902;0.1504;0.0311;0.0175;0.0109;0.0083;0.0058;0.0049;0.004;0.0035;0.0032;0.0028;0.0027;0.0027;0.0028;0.0028;0.0035;0.0043;0.0048;0.0054;0.0062;0.0068;0.0083;0.008;0.0079;0.0075;0.0071;0.0073;0.0074;0.0075;0.0071;0.0079;0.0077;0.0088;0.0081;0.0086;0.0091;0.0094;0.0096;0.0102;0.0104;0.0111;0.011;0.0121;0.012;0.0128;0.0131;0.0139;0.0144;0.0148;0.0153;0.0163;0.0169;0.018;0.0192;0.0199;0.0218;0.022;0.0242;0.0252;0.0276;0.0302;0.0301;0.0353;0.0361;0.037;0.0432;0.0444;0.0487;0.0532;0.0561;0.0637;0.066;0.0771;0.0776;0.0903;0.098;0.1006;0.11;0.1294;0.1327;0.1437;0.1429;0.1718;0.1899;0.1938;0.207;0.2141;0.2372;0.2366;0.25;0.2899;0.2831;0.284;0.2843;0.3173;0.2957;0.2821;0.305;0.2933;0.4159;0.4698;0.4392;0.5221;0.6149;0.4429;0.38;0.3979;0.4156;0.4331;0.4504;0.4674;0.4839;0.5;0.5156;0.5306;0.545;0.5588;0.572;0.5845;0.5963;0.6075
1903;0.1523;0.0301;0.0168;0.0105;0.0073;0.0054;0.0045;0.004;0.0031;0.0029;0.0028;0.0024;0.0029;0.0025;0.0028;0.0035;0.0042;0.0045;0.0058;0.0056;0.0067;0.0078;0.0084;0.0075;0.0074;0.0073;0.0069;0.0073;0.0072;0.0071;0.0075;0.008;0.0081;0.0077;0.0082;0.0087;0.0089;0.0095;0.0097;0.01;0.0106;0.0105;0.0116;0.0115;0.0118;0.0134;0.0129;0.0134;0.0142;0.0142;0.0157;0.0157;0.0184;0.0179;0.0186;0.0199;0.0225;0.0228;0.0238;0.0262;0.0301;0.0285;0.0337;0.0369;0.0378;0.0405;0.0445;0.0478;0.0533;0.0562;0.0649;0.065;0.0749;0.0817;0.0878;0.0971;0.1027;0.1121;0.1205;0.1364;0.1542;0.1453;0.1667;0.1803;0.2101;0.2071;0.219;0.2356;0.2363;0.2902;0.2485;0.2675;0.2867;0.3103;0.3581;0.3378;0.3488;0.2923;0.4121;0.2828;0.4949;0.4626;0.55;0.6477;0.4665;0.4003;0.4191;0.4378;0.4563;0.4745;0.4924;0.5098;0.5267;0.5431;0.5589;0.5741;0.5887;0.6025;0.6157;0.6282;0.64
1904;0.16;0.0312;0.0157;0.0097;0.0067;0.005;0.0041;0.0036;0.0031;0.0029;0.0028;0.0024;0.0025;0.0027;0.0028;0.0033;0.0042;0.005;0.0055;0.0061;0.0065;0.007;0.0079;0.008;0.0072;0.0073;0.0074;0.0068;0.0072;0.0068;0.0078;0.0071;0.0081;0.008;0.0079;0.0087;0.0093;0.0092;0.0097;0.0096;0.011;0.0105;0.0112;0.0115;0.0114;0.0126;0.0134;0.0134;0.0147;0.0138;0.0167;0.0148;0.0174;0.0191;0.0193;0.02;0.022;0.0229;0.0245;0.0263;0.0303;0.0301;0.0331;0.0362;0.038;0.0417;0.0438;0.0481;0.0527;0.0557;0.0678;0.0655;0.078;0.0798;0.09;0.0994;0.105;0.1143;0.1275;0.1312;0.1564;0.1509;0.1659;0.1756;0.2005;0.2177;0.2133;0.2424;0.2571;0.2529;0.2878;0.264;0.2952;0.3196;0.325;0.2971;0.3107;0.2891;0.3468;0.3746;0.3344;0.3126;0.3716;0.4377;0.3152;0.2705;0.2832;0.2958;0.3083;0.3206;0.3327;0.3444;0.3559;0.367;0.3777;0.3879;0.3977;0.4071;0.416;0.4245;0.4324
1905;0.1504;0.0293;0.0153;0.0098;0.007;0.0052;0.004;0.0037;0.0031;0.003;0.0026;0.0025;0.0025;0.0026;0.003;0.0033;0.0041;0.0048;0.0056;0.0057;0.0066;0.0072;0.0078;0.0074;0.0073;0.0072;0.0073;0.0075;0.0073;0.0075;0.0077;0.0075;0.0083;0.0082;0.0087;0.0089;0.0091;0.0097;0.0103;0.0106;0.0112;0.0111;0.0122;0.0122;0.0125;0.0138;0.0142;0.0146;0.0156;0.0151;0.0176;0.0172;0.0194;0.019;0.0208;0.0222;0.0231;0.0247;0.0277;0.0275;0.0309;0.033;0.036;0.0377;0.0395;0.045;0.0463;0.0497;0.0555;0.0574;0.0675;0.0699;0.0788;0.0819;0.0896;0.1006;0.1034;0.1163;0.1298;0.1354;0.1507;0.1573;0.1765;0.1799;0.1975;0.2277;0.2295;0.2356;0.2508;0.2781;0.2971;0.278;0.3158;0.3393;0.3284;0.3957;0.362;0.3168;0.3571;0.4795;0.4092;0.3826;0.4548;0.5356;0.3858;0.331;0.3466;0.362;0.3773;0.3924;0.4071;0.4216;0.4356;0.4491;0.4622;0.4748;0.4868;0.4983;0.5092;0.5195;0.5292
1906;0.1578;0.0316;0.0163;0.01;0.0068;0.0054;0.0042;0.0037;0.0027;0.003;0.0026;0.0025;0.0025;0.0028;0.0031;0.0036;0.0043;0.0048;0.0059;0.0065;0.0063;0.0074;0.0081;0.0074;0.0073;0.0075;0.0071;0.0075;0.0074;0.0072;0.0077;0.0078;0.0086;0.0082;0.0087;0.0093;0.0088;0.0094;0.0107;0.0102;0.0116;0.0108;0.0127;0.0126;0.0126;0.0134;0.0142;0.0147;0.0161;0.0156;0.0172;0.0178;0.0189;0.0196;0.0203;0.0223;0.0232;0.0248;0.0272;0.0276;0.0318;0.0332;0.037;0.0379;0.0406;0.0452;0.0466;0.051;0.0557;0.0598;0.0676;0.0666;0.0818;0.0848;0.0884;0.0995;0.1084;0.1132;0.1303;0.1359;0.1513;0.1488;0.1868;0.1851;0.1959;0.2228;0.2306;0.2507;0.256;0.2681;0.3;0.2881;0.3134;0.3333;0.3457;0.3623;0.3678;0.3902;0.3643;0.4533;0.3392;0.3171;0.377;0.4439;0.3197;0.2744;0.2872;0.3001;0.3127;0.3252;0.3374;0.3494;0.361;0.3722;0.3831;0.3935;0.4034;0.413;0.422;0.4305;0.4386
1907;0.144;0.0299;0.0134;0.009;0.0065;0.0049;0.0038;0.0035;0.0028;0.0028;0.0025;0.0023;0.0024;0.0026;0.0029;0.0034;0.0044;0.0047;0.0057;0.0063;0.0067;0.0086;0.008;0.0073;0.0072;0.0073;0.0072;0.0074;0.0075;0.0077;0.0079;0.0083;0.0082;0.0091;0.0089;0.0095;0.0097;0.0107;0.011;0.0113;0.012;0.0123;0.0126;0.0138;0.0142;0.0151;0.0146;0.0156;0.0165;0.0176;0.0182;0.0188;0.019;0.0219;0.0222;0.0243;0.0246;0.0263;0.0281;0.0307;0.0343;0.035;0.0383;0.0409;0.0446;0.0468;0.0502;0.0528;0.0599;0.0643;0.069;0.0753;0.0822;0.0896;0.0976;0.1075;0.1121;0.1221;0.1328;0.1494;0.159;0.1656;0.1791;0.201;0.2116;0.2164;0.2271;0.2543;0.2625;0.2646;0.288;0.2964;0.3077;0.3042;0.3357;0.3525;0.3358;0.3731;0.3438;0.4046;0.3817;0.3568;0.4242;0.4996;0.3598;0.3088;0.3233;0.3377;0.3519;0.366;0.3797;0.3932;0.4062;0.4189;0.4311;0.4428;0.454;0.4647;0.4749;0.4845;0.4936
1908;0.1429;0.0292;0.0118;0.0082;0.0061;0.0046;0.0038;0.0033;0.0027;0.0024;0.0024;0.0021;0.0023;0.0026;0.0026;0.0033;0.0041;0.0046;0.0056;0.006;0.0065;0.0084;0.0075;0.0071;0.0068;0.0069;0.007;0.0075;0.007;0.0075;0.0076;0.0078;0.008;0.0079;0.009;0.0092;0.0091;0.0097;0.0099;0.0102;0.0108;0.0111;0.0115;0.0126;0.013;0.0138;0.0137;0.0151;0.0156;0.0161;0.0176;0.0177;0.0183;0.0195;0.0214;0.0228;0.0237;0.0246;0.027;0.0295;0.0307;0.0328;0.0343;0.0375;0.0418;0.0438;0.0478;0.0512;0.0539;0.0599;0.0643;0.0713;0.0763;0.0819;0.0905;0.097;0.1054;0.113;0.1228;0.1332;0.1476;0.1553;0.1656;0.1728;0.199;0.2095;0.2141;0.2247;0.245;0.2618;0.25;0.2903;0.3023;0.3209;0.3241;0.2963;0.3536;0.3506;0.3734;0.4535;0.4191;0.3918;0.4658;0.5486;0.3951;0.339;0.355;0.3708;0.3864;0.4019;0.417;0.4317;0.4461;0.46;0.4734;0.4862;0.4986;0.5103;0.5215;0.532;0.542
1909;0.1321;0.0282;0.012;0.0078;0.0057;0.0047;0.0036;0.0031;0.0027;0.0024;0.0022;0.0025;0.0021;0.0021;0.0026;0.0033;0.0039;0.0046;0.0054;0.0055;0.0063;0.0079;0.0076;0.0064;0.0065;0.0069;0.0068;0.007;0.0071;0.0073;0.0074;0.0076;0.0078;0.0083;0.0088;0.009;0.0092;0.0091;0.0101;0.0111;0.0106;0.0117;0.0116;0.0115;0.0136;0.014;0.014;0.0153;0.0153;0.0168;0.0179;0.0185;0.0192;0.0199;0.0212;0.0233;0.0242;0.0252;0.0269;0.0302;0.033;0.0322;0.0369;0.0386;0.0423;0.0471;0.0494;0.053;0.0579;0.0621;0.0689;0.0739;0.0805;0.0877;0.094;0.1009;0.11;0.1243;0.1262;0.1409;0.1543;0.1663;0.1787;0.1818;0.199;0.2225;0.2316;0.2393;0.2507;0.2724;0.2898;0.2843;0.3162;0.3368;0.3063;0.3346;0.3985;0.3902;0.2679;0.5867;0.2701;0.2525;0.3002;0.3535;0.2546;0.2185;0.2287;0.2389;0.249;0.259;0.2687;0.2782;0.2875;0.2964;0.305;0.3133;0.3213;0.3288;0.336;0.3428;0.3493
1910;0.1242;0.0273;0.012;0.0073;0.005;0.0042;0.0033;0.0026;0.0027;0.0021;0.0022;0.002;0.0021;0.0023;0.0024;0.003;0.0038;0.0045;0.0053;0.0056;0.0059;0.0068;0.0071;0.0065;0.0064;0.0063;0.0069;0.0065;0.0072;0.0071;0.0069;0.0074;0.0076;0.008;0.0079;0.0084;0.0086;0.0088;0.0087;0.01;0.0103;0.0109;0.0112;0.0116;0.0123;0.0127;0.0135;0.0135;0.0148;0.0153;0.0163;0.0174;0.018;0.0191;0.0199;0.0212;0.022;0.0242;0.0258;0.0269;0.0288;0.0315;0.0329;0.0369;0.0386;0.0423;0.0453;0.0486;0.0531;0.0581;0.0623;0.0692;0.0742;0.0809;0.0881;0.0945;0.1043;0.1131;0.1241;0.1243;0.1426;0.154;0.1659;0.1746;0.1881;0.202;0.2202;0.2249;0.2465;0.2507;0.2546;0.3025;0.2797;0.2919;0.3196;0.3525;0.311;0.2469;0.319;0.5455;0.3173;0.2966;0.3527;0.4153;0.2991;0.2567;0.2687;0.2807;0.2926;0.3042;0.3157;0.3269;0.3377;0.3482;0.3584;0.3681;0.3775;0.3863;0.3948;0.4028;0.4104
