;Taux PR1;Taux PR2;Taux PR3;Age eligibilit_
1930;0;0;0;99
1931;0;0;0;99
1932;0;0;0;99
1933;0;0;0;99
1934;0;0;0;99
1935;0;0;0;99
1936;0;0;0;99
1937;0;0;0;99
1938;0;0;0;99
1939;0;0;0;99
1940;0;0;0;99
1941;0;0;0;99
1942;0;0;0;99
1943;0;0;0;99
1944;0;0;0;99
1945;0;0;0;99
1946;0;0;0;99
1947;0;0;0;99
1948;0;0;0;99
1949;0;0;0;99
1950;0;0;0;99
1951;0;0;0;99
1952;0;0;0;99
1953;0;0;0;99
1954;0;0;0;99
1955;0;0;0;99
1956;0;0;0;99
1957;0;0;0;99
1958;0;0;0;99
1959;0;0;0;99
1960;0;0;0;99
1961;0;0;0;99
1962;0;0;0;99
1963;0;0;0;99
1964;0;0;0;99
1965;0;0;0;99
1966;0;0;0;99
1967;0;0;0;99
1968;0;0;0;99
1969;0;0;0;99
1970;0;0;0;99
1971;0;0;0;99
1972;0.66;0.66;0.66;60
1973;0.68;0.68;0.68;60
1974;0.7;0.7;0.7;60
1975;0.7;0.7;0.7;60
1976;0.7;0.7;0.7;60
1977;0.7;0.7;0.7;60
1978;0.7;0.7;0.7;60
1979;0.7;0.7;0.7;60
1980;0.7;0.7;0.7;60
1981;0.7;0.7;0.7;56
1982;0.7;0.7;0.7;55
1983;0.7;0.7;0.7;55
1984;0.65;0.5;0.5;56
1985;0.65;0.5;0.5;56
1986;0.65;0.5;0.5;56
1987;0.65;0.5;0.5;56
1988;0.65;0.5;0.5;56
1989;0.65;0.5;0.5;56
1990;0.65;0.5;0.5;56
1991;0.65;0.5;0.5;56
1992;0.65;0.5;0.5;56
1993;0.65;0.5;0.5;56
1994;0.65;0.5;0;57
1995;0.65;0.5;0;57
1996;0.65;0.5;0;57
1997;0.65;0.5;0;57
1998;0.65;0.5;0;57
1999;0.65;0.5;0;57
2000;0.65;0.5;0;57
2001;0.65;0.5;0;57
2002;0.65;0.5;0;57
2003;0.65;0.5;0;57
2004;0.65;0.5;0;57
2005;0.65;0.5;0;57
2006;0.65;0.5;0;57
2007;0.65;0.5;0;57
2008;0.65;0.5;0;57
2009;0.65;0.5;0;57
2010;0.65;0.5;0;57
2011;0.65;0.5;0;57
2012;0.65;0.5;0;57
2013;0.65;0.5;0;57
2014;0.65;0.5;0;57
2015;0.65;0.5;0;57
2016;0.65;0.5;0;57
2017;0.65;0.5;0;57
2018;0.65;0.5;0;57
2019;0.65;0.5;0;57
2020;0.65;0.5;0;57
2021;0.65;0.5;0;57
2022;0.65;0.5;0;57
2023;0.65;0.5;0;57
2024;0.65;0.5;0;57
2025;0.65;0.5;0;57
2026;0.65;0.5;0;57
2027;0.65;0.5;0;57
2028;0.65;0.5;0;57
2029;0.65;0.5;0;57
2030;0.65;0.5;0;57
2031;0.65;0.5;0;57
2032;0.65;0.5;0;57
2033;0.65;0.5;0;57
2034;0.65;0.5;0;57
2035;0.65;0.5;0;57
2036;0.65;0.5;0;57
2037;0.65;0.5;0;57
2038;0.65;0.5;0;57
2039;0.65;0.5;0;57
2040;0.65;0.5;0;57
2041;0.65;0.5;0;57
2042;0.65;0.5;0;57
2043;0.65;0.5;0;57
2044;0.65;0.5;0;57
2045;0.65;0.5;0;57
2046;0.65;0.5;0;57
2047;0.65;0.5;0;57
2048;0.65;0.5;0;57
2049;0.65;0.5;0;57
2050;0.65;0.5;0;57
2051;0.65;0.5;0;57
2052;0.65;0.5;0;57
2053;0.65;0.5;0;57
2054;0.65;0.5;0;57
2055;0.65;0.5;0;57
2056;0.65;0.5;0;57
2057;0.65;0.5;0;57
2058;0.65;0.5;0;57
2059;0.65;0.5;0;57
2060;0.65;0.5;0;57
2061;0.65;0.5;0;57
2062;0.65;0.5;0;57
2063;0.65;0.5;0;57
2064;0.65;0.5;0;57
2065;0.65;0.5;0;57
2066;0.65;0.5;0;57
2067;0.65;0.5;0;57
2068;0.65;0.5;0;57
2069;0.65;0.5;0;57
2070;0.65;0.5;0;57
2071;0.65;0.5;0;57
2072;0.65;0.5;0;57
2073;0.65;0.5;0;57
2074;0.65;0.5;0;57
2075;0.65;0.5;0;57
2076;0.65;0.5;0;57
2077;0.65;0.5;0;57
2078;0.65;0.5;0;57
2079;0.65;0.5;0;57
2080;0.65;0.5;0;57
2081;0.65;0.5;0;57
2082;0.65;0.5;0;57
2083;0.65;0.5;0;57
2084;0.65;0.5;0;57
2085;0.65;0.5;0;57
2086;0.65;0.5;0;57
2087;0.65;0.5;0;57
2088;0.65;0.5;0;57
2089;0.65;0.5;0;57
2090;0.65;0.5;0;57
2091;0.65;0.5;0;57
2092;0.65;0.5;0;57
2093;0.65;0.5;0;57
2094;0.65;0.5;0;57
2095;0.65;0.5;0;57
2096;0.65;0.5;0;57
2097;0.65;0.5;0;57
2098;0.65;0.5;0;57
2099;0.65;0.5;0;57
2100;0.65;0.5;0;57
