;Reval SPC;Reval pensions liquid_es RG;Reval pensions liquid_es FP;Tx RG salari_ sous plafond;Tx RG employ. sous plafond;Tx RG sur salaire total;Tx FP;Minimum vieillesse. personne seule;Minimum vieillesse. couple;Minimum contributif;Minimum contributif major_;Minimum PR;MDA RG;MDA FP
1930;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1931;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1932;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1933;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1934;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1935;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1936;1;1;1;0.0142;0.0142;0;0;0;0;0;0;0;0;0
1937;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1938;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1939;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1940;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1941;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1942;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1943;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1944;1;1;1;0.0162;0.0162;0;0;0;0;0;0;0;0;0
1945;1;1;1;0.0243;0.0243;0;0;0;0;0;0;0;0;0
1946;1;1;1;0.0243;0.0243;0;0;0;0;0;0;0;0;0
1947;1.43;1;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1948;1.18;1;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1949;1.14;1;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1950;1.41;1.17;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1951;1.2;1.15;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1952;1.01;1.16;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1953;1.07;1.1;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1954;1.08;1.2;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1955;1.12;1.09;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1956;1.08;1.085;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1957;1.14;1.12;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1958;1.1;1.075;1;0.0243;0.0405;0;0;0;0;0;0;0;0;0
1959;1.08;1.135;1;0.02;0.05;0;0;0;0;0;0;0;0;0
1960;1.11;1.105;1;0.02;0.05;0;0;0;0;0;0;0;0;0
1961;1.2;1.077;1.27;0.02;0.05;0;0;0;0;0;0;0;0;0
1962;1.12;1.15;1.2;0.02;0.06;0;0;0;0;0;0;0;0;0
1963;1.11;1.16;1.045;0.02;0.06;0;0;0;0;0;0;0;0;0
1964;1.07;1.12;1.122;0.02;0.06;0;0;0;0;0;0;0;0;0
1965;1.06;1.11;1.041;0.02;0.06;0;0;0;0;0;0;0;0;0
1966;1.06;1.069;1.04;0.02;0.06;0;0;0;0;0;0;0;0;0
1967;1.08;1.058;1.042;0.03;0.06;0;0;0;0;0;0;0;0;0
1968;1.15;1.056;1.104;0.03;0.06;0;0;0;0;0;0;0;0;0
1969;1.1;1.118;1.05;0.03;0.06;0;0;0;0;0;0;0;0;0
1970;1.12;1.119;1.072;0.03;0.06;0;0;442.1;884.2;0;0;0;0;0
1971;1.11;1.101;1.085;0.03;0.06;0;0;495.5;990.9;0;0;0;0;0
1972;1.08;1.115;1.069;0.03;0.06;0;0;556.4;1112.9;0;0;1171.03;1;1
1973;1.13;1.109;1.12;0.03;0.06;0;0;686;1372;0;0;1304.45;1;1
1974;1.19;1.154;1.159;0.03;0.07;0;0;792.7;1585.5;0;0;1531.61;1;1
1975;1.18;1.165;1.099;0.03;0.07;0;0;1036.7;2073.3;0;0;1997.04;2;1
1976;1.16;1.172;1.105;0.03;0.08;0;0;1227.2;2454.4;0;0;2295.02;2;1
1977;1.11;1.163;1.11;0.03;0.08;0;0;1372;2744.1;0;0;2599.29;2;1
1978;1.1;1.13;1.111;0.03;0.08;0;0;1676.9;3353.9;0;0;2937.32;2;1
1979;1.14;1.108;1.122;0.05;0.08;0;0;1966.6;3933.2;0;0;3334.06;2;1
1980;1.13;1.121;1.126;0.05;0.08;0;0;2225.8;4451.5;0;0;3935.55;2;1
1981;1.12;1.133;1.148;0.05;0.08;0;0;2591.6;5183.3;0;0;4659.76;2;1
1982;1.06;1.146;1.102;0.05;0.08;0;0;3658.8;6768.7;0;0;5452.59;2;1
1983;1.06;1.082;1.09;0.05;0.08;0;0;4039.9;7470;0;0;6094.81;2;1
1984;1.04;1.04;1.068;0.06;0.08;0;0;4276.2;7832.8;4097.1;0;6417.97;2;1
1985;1.02;1.063;1.045;0.06;0.08;0;0;4518.6;8212.4;4329.59;0;6721.78;2;1
1986;1.04;1.018;1;0.06;0.08;0;0;4706.1;8528;4508.69;0;6939.35;2;1
1987;1.02;1.028;1.021;0.07;0.08;0;0;4815.9;8639.3;4612.79;0;7102.11;2;1
1988;1.04;1.039;1.02;0.07;0.08;0;0;4989.7;8953.3;4780.05;0;7331.64;2;1
1989;1.03;1.025;1.027;0.08;0.08;0;0;5119.2;9186.6;4905.14;0;7566.73;2;1
1990;1.02;1.035;1.025;0.08;0.08;0;0;5293;9497.6;5070.72;0;7826.31;2;1
1991;1.03;1.025;1.015;0.07;0.08;0.02;0.0785;5453.1;9784.2;5223.96;0;8092.57;2;1
1992;1;1.028;1.027;0.07;0.08;0.02;0.0785;5552.2;9961;5318.41;0;8331.56;2;1
1993;1.02;1.013;1.017;0.07;0.08;0.02;0.0785;5727.5;10275.1;5484.53;0;8498.49;2;1
1994;1.01;1.02;1.023;0.07;0.08;0.02;0.0785;5841.8;10480.9;5594.22;0;8634.82;2;1
1995;1.02;1.017;1.026;0.07;0.08;0.02;0.0785;5912.4;10606.8;5661.35;0;8734.42;2;1
1996;1.01;1.02;1;0.07;0.08;0.02;0.0785;6205.7;11133;5803.44;0;8887.44;2;1
1997;1.01;1.012;1.01;0.07;0.08;0.02;0.0785;6280.4;11266.9;5873.08;0;9003.18;2;1
1998;1.01;1.011;1.013;0.07;0.08;0.02;0.0785;6349.7;11391;5937.69;0;9124.49;2;1
1999;1;1.012;1.013;0.07;0.08;0.02;0.0785;6476.8;11618.9;6008.94;0;9215.74;2;1
2000;1.02;1.005;1.005;0.07;0.08;0.02;0.0785;6541.6;11735.1;6038.98;0;9262.14;2;1
2001;1.02;1.022;1.012;0.07;0.08;0.02;0.0785;6685.5;11993.2;6171.84;0;9467.28;2;1
2002;1.01;1.022;1.013;0.07;0.08;0.02;0.0785;6832.6;12257;6307.62;0;9675.47;2;1
2003;1.02;1.015;1;0.07;0.08;0.02;0.0785;6935.1;12441;6402.23;0;9821.57;2;1
2004;1.02;1.017;1.021;0.07;0.08;0.02;0.0785;7053;12652.4;6511.06;6706.39;9989.59;2;1
2005;1.02;1.02;1.018;0.07;0.08;0.02;0.0785;7194;12905.4;6641.28;6840.51;10190.48;2;1
2006;1.02;1.018;1.016;0.07;0.08;0.02;0.0785;7323.5;13137.7;6760.82;7172.54;10373.1;2;1
2007;1.02;1.018;1.015;0.07;0.08;0.02;0.0785;7455;13375;6882.51;7301.64;10580.56;2;1
2008;1.02;1.019;1.028;0.07;0.08;0.02;0.0785;7537;13521;6958.21;7603.41;10792.17;2;1
2009;1;1;1;0.07;0.08;0.02;0.0785;7688;13792;6958.21;7603.41;11008.02;2;1
2010;1;1;1;0.07;0.08;0.02;0.0785;7842;14068;6958.21;7603.41;11228.18;2;1
2011;1;1;1;0.07;0.08;0.02;0.0812;7999;14349;6958.21;7603.41;11452.74;2;1
2012;1;1;1;0.07;0.08;0.02;0.0839;8159;14636;6958.21;7603.41;11681.8;2;1
2013;1;1;1;0.07;0.08;0.02;0.0866;8322;14929;6958.21;7603.41;11915.43;2;1
2014;1;1;1;0.07;0.08;0.02;0.0893;8488;15227;6958.21;7603.41;12153.74;2;1
2015;1;1;1;0.07;0.08;0.02;0.092;8658;15532;6958.21;7603.41;12396.81;2;1
2016;1;1;1;0.07;0.08;0.02;0.0947;8831;15842;6958.21;7603.41;12644.75;2;1
2017;1;1;1;0.07;0.08;0.02;0.0974;9008;16159;6958.21;7603.41;12897.65;2;1
2018;1;1;1;0.07;0.08;0.02;0.1001;9188;16482;6958.21;7603.41;13155.6;2;1
2019;1;1;1;0.07;0.08;0.02;0.1028;9372;16812;6958.21;7603.41;13418.71;2;1
2020;1;1;1;0.07;0.08;0.02;0.1055;9559;17148;6958.21;7603.41;13687.09;2;1
2021;1;1;1;0.07;0.08;0.02;0.1055;9750;17491;6958.21;7603.41;13960.83;2;1
2022;1;1;1;0.07;0.08;0.02;0.1055;9945;17841;6958.21;7603.41;14240.04;2;1
2023;1;1;1;0.07;0.08;0.02;0.1055;10144;18198;6958.21;7603.41;14524.84;2;1
2024;1;1;1;0.07;0.08;0.02;0.1055;10347;18562;6958.21;7603.41;14815.34;2;1
2025;1;1;1;0.07;0.08;0.02;0.1055;10554;18933;6958.21;7603.41;15111.65;2;1
2026;1;1;1;0.07;0.08;0.02;0.1055;10765;19312;6958.21;7603.41;15413.88;2;1
2027;1;1;1;0.07;0.08;0.02;0.1055;10980;19698;6958.21;7603.41;15722.16;2;1
2028;1;1;1;0.07;0.08;0.02;0.1055;11200;20092;6958.21;7603.41;16036.6;2;1
2029;1;1;1;0.07;0.08;0.02;0.1055;11424;20494;6958.21;7603.41;16357.33;2;1
2030;1;1;1;0.07;0.08;0.02;0.1055;11653;20904;6958.21;7603.41;16684.48;2;1
2031;1;1;1;0.07;0.08;0.02;0.1055;11886;21322;6958.21;7603.41;17018.17;2;1
2032;1;1;1;0.07;0.08;0.02;0.1055;12123;21748;6958.21;7603.41;17358.53;2;1
2033;1;1;1;0.07;0.08;0.02;0.1055;12366;22183;6958.21;7603.41;17705.7;2;1
2034;1;1;1;0.07;0.08;0.02;0.1055;12613;22627;6958.21;7603.41;18059.82;2;1
2035;1;1;1;0.07;0.08;0.02;0.1055;12865;23079;6958.21;7603.41;18421.01;2;1
2036;1;1;1;0.07;0.08;0.02;0.1055;13123;23541;6958.21;7603.41;18789.43;2;1
2037;1;1;1;0.07;0.08;0.02;0.1055;13385;24012;6958.21;7603.41;19165.22;2;1
2038;1;1;1;0.07;0.08;0.02;0.1055;13653;24492;6958.21;7603.41;19548.53;2;1
2039;1;1;1;0.07;0.08;0.02;0.1055;13926;24982;6958.21;7603.41;19939.5;2;1
2040;1;1;1;0.07;0.08;0.02;0.1055;14204;25481;6958.21;7603.41;20338.29;2;1
2041;1;1;1;0.07;0.08;0.02;0.1055;14488;25991;6958.21;7603.41;20745.05;2;1
2042;1;1;1;0.07;0.08;0.02;0.1055;14778;26511;6958.21;7603.41;21159.96;2;1
2043;1;1;1;0.07;0.08;0.02;0.1055;15074;27041;6958.21;7603.41;21583.15;2;1
2044;1;1;1;0.07;0.08;0.02;0.1055;15375;27582;6958.21;7603.41;22014.82;2;1
2045;1;1;1;0.07;0.08;0.02;0.1055;15683;28134;6958.21;7603.41;22455.11;2;1
2046;1;1;1;0.07;0.08;0.02;0.1055;15996;28696;6958.21;7603.41;22904.22;2;1
2047;1;1;1;0.07;0.08;0.02;0.1055;16316;29270;6958.21;7603.41;23362.3;2;1
2048;1;1;1;0.07;0.08;0.02;0.1055;16643;29856;6958.21;7603.41;23829.55;2;1
2049;1;1;1;0.07;0.08;0.02;0.1055;16976;30453;6958.21;7603.41;24306.14;2;1
2050;1;1;1;0.07;0.08;0.02;0.1055;17315;31062;6958.21;7603.41;24792.26;2;1
2051;1;1;1;0.07;0.08;0.02;0.1055;17661;31683;6958.21;7603.41;25288.11;2;1
2052;1;1;1;0.07;0.08;0.02;0.1055;18015;32317;6958.21;7603.41;25793.87;2;1
2053;1;1;1;0.07;0.08;0.02;0.1055;18375;32963;6958.21;7603.41;26309.74;2;1
2054;1;1;1;0.07;0.08;0.02;0.1055;18742;33622;6958.21;7603.41;26835.94;2;1
2055;1;1;1;0.07;0.08;0.02;0.1055;19117;34295;6958.21;7603.41;27372.66;2;1
2056;1;1;1;0.07;0.08;0.02;0.1055;19500;34980;6958.21;7603.41;27920.11;2;1
2057;1;1;1;0.07;0.08;0.02;0.1055;19890;35680;6958.21;7603.41;28478.51;2;1
2058;1;1;1;0.07;0.08;0.02;0.1055;20287;36394;6958.21;7603.41;29048.08;2;1
2059;1;1;1;0.07;0.08;0.02;0.1055;20693;37122;6958.21;7603.41;29629.05;2;1
2060;1;1;1;0.07;0.08;0.02;0.1055;21107;37864;6958.21;7603.41;30221.63;2;1
2061;1;1;1;0.07;0.08;0.02;0.1055;21529;38621;6958.21;7603.41;30826.06;2;1
2062;1;1;1;0.07;0.08;0.02;0.1055;21960;39394;6958.21;7603.41;31442.58;2;1
2063;1;1;1;0.07;0.08;0.02;0.1055;22399;40182;6958.21;7603.41;32071.43;2;1
2064;1;1;1;0.07;0.08;0.02;0.1055;22847;40985;6958.21;7603.41;32712.86;2;1
2065;1;1;1;0.07;0.08;0.02;0.1055;23304;41805;6958.21;7603.41;33367.12;2;1
2066;1;1;1;0.07;0.08;0.02;0.1055;23770;42641;6958.21;7603.41;34034.46;2;1
2067;1;1;1;0.07;0.08;0.02;0.1055;24245;43494;6958.21;7603.41;34715.15;2;1
2068;1;1;1;0.07;0.08;0.02;0.1055;24730;44364;6958.21;7603.41;35409.45;2;1
2069;1;1;1;0.07;0.08;0.02;0.1055;25225;45251;6958.21;7603.41;36117.64;2;1
2070;1;1;1;0.07;0.08;0.02;0.1055;25729;46156;6958.21;7603.41;36839.99;2;1
2071;1;1;1;0.07;0.08;0.02;0.1055;26244;47079;6958.21;7603.41;37576.79;2;1
2072;1;1;1;0.07;0.08;0.02;0.1055;26769;48021;6958.21;7603.41;38328.33;2;1
2073;1;1;1;0.07;0.08;0.02;0.1055;27304;48981;6958.21;7603.41;39094.9;2;1
2074;1;1;1;0.07;0.08;0.02;0.1055;27850;49961;6958.21;7603.41;39876.79;2;1
2075;1;1;1;0.07;0.08;0.02;0.1055;28407;50960;6958.21;7603.41;40674.33;2;1
2076;1;1;1;0.07;0.08;0.02;0.1055;28975;51979;6958.21;7603.41;41487.82;2;1
2077;1;1;1;0.07;0.08;0.02;0.1055;29555;53019;6958.21;7603.41;42317.57;2;1
2078;1;1;1;0.07;0.08;0.02;0.1055;30146;54079;6958.21;7603.41;43163.93;2;1
2079;1;1;1;0.07;0.08;0.02;0.1055;30749;55161;6958.21;7603.41;44027.2;2;1
2080;1;1;1;0.07;0.08;0.02;0.1055;31364;56264;6958.21;7603.41;44907.75;2;1
2081;1;1;1;0.07;0.08;0.02;0.1055;31991;57389;6958.21;7603.41;45805.9;2;1
2082;1;1;1;0.07;0.08;0.02;0.1055;32631;58537;6958.21;7603.41;46722.02;2;1
2083;1;1;1;0.07;0.08;0.02;0.1055;33283;59708;6958.21;7603.41;47656.46;2;1
2084;1;1;1;0.07;0.08;0.02;0.1055;33949;60902;6958.21;7603.41;48609.59;2;1
2085;1;1;1;0.07;0.08;0.02;0.1055;34628;62120;6958.21;7603.41;49581.78;2;1
2086;1;1;1;0.07;0.08;0.02;0.1055;35321;63362;6958.21;7603.41;50573.42;2;1
2087;1;1;1;0.07;0.08;0.02;0.1055;36027;64630;6958.21;7603.41;51584.89;2;1
2088;1;1;1;0.07;0.08;0.02;0.1055;36748;65922;6958.21;7603.41;52616.58;2;1
2089;1;1;1;0.07;0.08;0.02;0.1055;37483;67241;6958.21;7603.41;53668.92;2;1
2090;1;1;1;0.07;0.08;0.02;0.1055;38232;68585;6958.21;7603.41;54742.29;2;1
2091;1;1;1;0.07;0.08;0.02;0.1055;38997;69957;6958.21;7603.41;55837.14;2;1
2092;1;1;1;0.07;0.08;0.02;0.1055;39777;71356;6958.21;7603.41;56953.88;2;1
2093;1;1;1;0.07;0.08;0.02;0.1055;40572;72783;6958.21;7603.41;58092.96;2;1
2094;1;1;1;0.07;0.08;0.02;0.1055;41384;74239;6958.21;7603.41;59254.82;2;1
2095;1;1;1;0.07;0.08;0.02;0.1055;42211;75724;6958.21;7603.41;60439.92;2;1
2096;1;1;1;0.07;0.08;0.02;0.1055;43056;77238;6958.21;7603.41;61648.71;2;1
2097;1;1;1;0.07;0.08;0.02;0.1055;43917;78783;6958.21;7603.41;62881.69;2;1
2098;1;1;1;0.07;0.08;0.02;0.1055;44795;80359;6958.21;7603.41;64139.32;2;1
2099;1;1;1;0.07;0.08;0.02;0.1055;45691;81966;6958.21;7603.41;65422.11;2;1
2100;1;1;1;0.07;0.08;0.02;0.1055;46605;83605;6958.21;7603.41;66730.55;2;1
