;Tx  ARRCO tot Tranche 1;Tx ARRCO tot tranche 2;Tx ARRCO sal Tranche 1;Tx ARRCO sal tranche 2;Taux d'appel ARRCO;Salaire de r_f_rence UNIRS/ ARRCO en euros;VP UNIRS/ ARRCO en euros;Tx AGIRC tot tranche B;Tx AGIRC tot tranche C;Tx AGIRC sal tranche B;Tx AGIRC sal tranche C;Taux d'appel AGIRC;Salaire de r_f_rence AGIRC en euros;VP Agirc en euros;GMP
1930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144
1946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144
1947;0;0;0;0;0;0.1338;0;0;0;0;0;0.78;0.0396;0;144
1948;0;0;0;0;0;0.1338;0;0.101;0;0.0404;0;0.78;0.0564;0;144
1949;0;0;0;0;0;0.1495;0;0.103;0;0.0412;0;0.78;0.064;0;144
1950;0;0;0;0;0;0.1849;0;0.1036;0;0.04144;0;0.78;0.0793;0;144
1951;0;0;0;0;0;0.2243;0;0.1037;0;0.04148;0;0.78;0.096;0;144
1952;0;0;0;0;0;0.2715;0;0.1155;0;0.0462;0;0.78;0.1159;0;144
1953;0;0;0;0;0;0.2794;0;0.1215;0;0.0486;0;0.8;0.1189;0;144
1954;0;0;0;0;0;0.3148;0;0.1221;0;0.04884;0;0.8;0.1326;0;144
1955;0;0;0;0;0;0.3541;0;0.1226;0;0.04904;0;0.85;0.1464;0;144
1956;0;0;0;0;0;0.3856;0;0.1225;0;0.049;0;0.85;0.1631;0;144
1957;0.025;0.025;0.01;0.01;1;0.4171;0.063;0.1286;0;0.05144;0;0.85;0.1768;0.0229;144
1958;0.025;0.025;0.01;0.01;1;0.4721;0.0645;0.1311;0;0.05244;0;0.85;0.1982;0.0263;144
1959;0.025;0.025;0.01;0.01;1;0.4997;0.0692;0.1309;0;0.05236;0;0.85;0.2165;0.0297;144
1960;0.025;0.025;0.01;0.01;1;0.543;0.076;0.1302;0;0.05208;0;0.85;0.2317;0.0328;144
1961;0.025;0.025;0.01;0.01;1;0.5863;0.0809;0.1309;0;0.05236;0;0.9;0.2576;0.0351;144
1962;0.025;0.025;0.01;0.01;1;0.6413;0.0859;0.135;0;0.054;0;0.9;0.2836;0.0385;144
1963;0.054;0.08;0.0216;0.032;1;0.7004;0.094;0.138;0;0.0552;0;0.9;0.3034;0.04;144
1964;0.054;0.08;0.0216;0.032;1;0.7436;0.1026;0.137;0;0.0548;0;0.9;0.3308;0.0434;144
1965;0.054;0.08;0.0216;0.032;1;0.783;0.1089;0.137;0;0.0548;0;0.95;0.3476;0.0469;144
1966;0.054;0.08;0.0216;0.032;1;0.8341;0.1147;0.135;0;0.054;0;1;0.3674;0.0492;144
1967;0.054;0.08;0.0216;0.032;1;0.8695;0.1212;0.141;0;0.0564;0;1;0.3887;0.0507;144
1968;0.054;0.08;0.0216;0.032;1;0.964;0.1259;0.142;0;0.0568;0;1;0.4223;0.0537;144
1969;0.054;0.08;0.0216;0.032;1;1.0545;0.1342;0.142;0;0.0568;0;1;0.4573;0.06;144
1970;0.054;0.08;0.0216;0.032;1;1.145;0.1511;0.141;0;0.0564;0;1;0.497;0.064;144
1971;0.054;0.08;0.0216;0.032;1.025;1.2669;0.1597;0.141;0;0.0564;0;1;0.5412;0.0717;144
1972;0.054;0.08;0.0216;0.032;1.05;1.4086;0.1794;0.139;0;0.0556;0;1;0.5915;0.0789;144
1973;0.054;0.08;0.0216;0.032;1.075;1.5974;0.1983;0.143;0;0.0572;0;1;0.6479;0.0884;144
1974;0.054;0.08;0.0216;0.032;1.1;1.8335;0.2266;0.142;0;0.0568;0;1;0.7333;0.0987;144
1975;0.054;0.08;0.0216;0.032;1.1;2.0578;0.2455;0.14;0;0.056;0;1;0.8446;0.1125;144
1976;0.054;0.08;0.0216;0.032;1.1;2.3686;0.2904;0.139;0;0.0556;0;1;0.933;0.1265;144
1977;0.054;0.08;0.0216;0.032;1.1;2.6244;0.3246;0.14;0;0.056;0;1;1.0275;0.1367;144
1978;0.054;0.08;0.0216;0.032;1.1;2.9431;0.358;0.14;0;0.056;0;1;1.1312;0.1488;144
1979;0.054;0.08;0.0216;0.032;1.1;3.309;0.3974;0.139;0;0.0556;0;1.03;1.2638;0.1627;144
1980;0.054;0.08;0.0216;0.032;1.1;3.7851;0.4383;0.139;0;0.0556;0;1.03;1.4361;0.1811;144
1981;0.054;0.08;0.0216;0.032;1.1;4.2611;0.5304;0.139;0;0.0556;0;1.03;1.616;0.205;144
1982;0.054;0.08;0.0216;0.032;1.1;4.812;0.5973;0.138;0;0.0552;0;1.03;1.7958;0.2279;144
1983;0.054;0.08;0.0216;0.032;1.15;5.2959;0.6405;0.139;0;0.0556;0;1.03;1.9925;0.2462;144
1984;0.054;0.08;0.0216;0.032;1.15;5.65;0.6886;0.138;0;0.0552;0;1.03;2.116;0.2634;144
1985;0.054;0.08;0.0216;0.032;1.15;6.075;0.7303;0.139;0;0.0556;0;1.03;2.2593;0.2766;144
1986;0.054;0.08;0.0216;0.032;1.15;6.3622;0.7625;0.139;0;0.0556;0;1.06;2.3782;0.286;144
