;Taux reversion RG;Min reversion RG;Max reversion RG;Plafond ressources RG;Taux reversion ARRCO;Taux reversion AGIRC;Taux reversion FP;Taux reversion ind_pendants
1930;0;0;2.22;0;0;0;0;0
1931;0;0;2.22;0;0;0;0;0
1932;0;0;4.45;0;0;0;0;0
1933;0;0;4.45;0;0;0;0;0
1934;0;0;4.45;0;0;0;0;0
1935;0;0;4.45;0;0;0;0;0
1936;0;0;4.45;0;0;0;0;0
1937;0;0;4.94;0;0;0;0;0
1938;0;0;6.17;0;0;0;0;0
1939;0;0;6.79;0;0;0;0;0
1940;0;0;7.41;0;0;0;0;0
1941;0;5.49;7.41;0;0;0;0;0
1942;0;5.49;11.11;0;0;0;0;0
1943;0;5.49;17.29;0;0;0;0;0
1944;0;5.49;17.29;0;0;0;0;0
1945;0;10.98;21.4;0;0;0;0;0
1946;0.54;16.46;43.22;0;0.6;0.6;0.5;0.5
1947;0.54;27.44;40.13;0;0.6;0.6;0.5;0.5
1948;0.54;33.54;67.3;0;0.6;0.6;0.5;0.5
1949;0.54;59.46;92.2;0;0.6;0.6;0.5;0.5
1950;0.54;68.6;106.2;0;0.6;0.6;0.5;0.5
1951;0.54;79.27;108.67;0;0.6;0.6;0.5;0.5
1952;0.54;79.27;142.01;0;0.6;0.6;0.5;0.5
1953;0.54;79.27;182.76;0;0.6;0.6;0.5;0.5
1954;0.54;100.31;187.7;0;0.6;0.6;0.5;0.5
1955;0.54;100.31;187.7;0;0.6;0.6;0.5;0.5
1956;0.54;110.34;195.1;0;0.6;0.6;0.5;0.5
1957;0.54;110.34;217.33;0;0.6;0.6;0.5;0.5
1958;0.54;110.34;217.33;0;0.6;0.6;0.5;0.5
1959;0.54;110.34;246.97;0;0.6;0.6;0.5;0.5
1960;0.54;110.34;271.66;0;0.6;0.6;0.5;0.5
1961;0.54;110.34;281.54;0;0.6;0.6;0.5;0.5
1962;0.54;121.96;333.41;0;0.6;0.6;0.5;0.5
1963;0.54;121.96;395.15;0;0.6;0.6;0.5;0.5
1964;0.54;137.2;429.72;0;0.6;0.6;0.5;0.5
1965;0.54;167.69;469.24;0;0.6;0.6;0.5;0.5
1966;0.54;175.32;503.81;0;0.6;0.6;0.5;0.5
1967;0.54;198.18;533.45;0;0.6;0.6;0.5;0.5
1968;0.54;221.05;563.09;872.13;0.6;0.6;0.5;0.5
1969;0.54;251.54;592.72;1028.5;0.6;0.6;0.5;0.5
1970;0.54;266.79;671.75;1110.62;0.6;0.6;0.5;0.5
1971;0.54;282.03;740.9;1222.82;0.6;0.6;0.5;0.5
1972;0.54;320.14;814.99;1362.12;0.6;0.6;0.5;0.5
1973;0.54;343.01;903.9;1610.37;0.6;0.6;0.5;0.5
1974;0.54;373.5;1007.63;1982.75;0.6;0.6;0.5;0.5
1975;0.54;495.46;1145.93;2364.61;0.6;0.6;0.5;0.5
1976;0.54;571.68;1358.32;2713.13;0.6;0.6;0.5;0.5
1977;0.54;655.53;1560.83;3057.59;0.6;0.6;0.5;0.5
1978;0.54;884.2;1783.1;3451.65;0.6;0.6;0.5;0.5
1979;0.54;975.67;1975.74;3881.48;0.6;0.6;0.5;0.5
1980;0.54;1204.35;2207.89;4487.47;0.6;0.6;0.5;0.5
1981;0.54;1295.82;2474.61;5299.43;0.6;0.6;0.5;0.5
1982;0.54;1539.74;2830.25;6235.79;0.6;0.6;0.5;0.5
1983;0.54;1722.67;3376.04;6990.84;0.6;0.6;0.5;0.5
1984;0.54;1823.29;3773.66;7651.3;0.6;0.6;0.5;0.5
1985;0.54;1926.96;4099.66;8133.73;0.6;0.6;0.5;0.5
1986;0.54;2006.23;4393.55;8411.18;0.6;0.6;0.5;0.5
1987;0.54;2053.49;4618.29;8750.74;0.6;0.6;0.5;0.5
1988;0.54;2126.66;4808.46;8990.67;0.6;0.6;0.5;0.5
1989;0.54;2181.55;4954.17;9365.37;0.6;0.6;0.5;0.5
1990;0.54;2256.25;5156.68;9766.49;0.6;0.6;0.5;0.5
1991;0.54;2324.09;5393.77;10242.13;0.6;0.6;0.5;0.5
1992;0.54;2366.01;5670.37;10646.88;0.6;0.6;0.5;0.5
1993;0.54;2440.71;5932.16;10922.3;0.6;0.6;0.5;0.5
1994;0.54;2489.64;6166.78;11160.12;0.6;0.6;0.5;0.5
1995;0.54;2519.52;6302.61;11501;0.6;0.6;0.5;0.5
1996;0.54;2582.94;6418.68;11912.69;0.6;0.6;0.5;0.5
1997;0.54;2614.04;6636.01;12262.02;0.6;0.6;0.5;0.5
1998;0.54;2642.86;6776.79;12628.27;0.6;0.6;0.5;0.5
1999;0.54;2695.76;6959.54;12832.79;0.6;0.6;0.5;0.5
2000;0.54;2722.74;7147.24;13118.18;0.6;0.6;0.5;0.5
2001;0.54;2782.65;7260.84;13593.82;0.6;0.6;0.5;0.5
2002;0.54;2843.87;7384.33;14040;0.6;0.6;0.5;0.5
2003;0.54;2886.53;7620.48;14580.8;0.6;0.6;0.5;0.5
2004;0.54;2935.6;7879.68;15392;0.6;0.6;0.5;0.5
2005;0.54;2994.31;8022.24;16265.6;0.6;0.6;0.5;0.5
2006;0.54;3048.2;8151.84;16952;0.6;0.6;0.5;0.5
2007;0.54;3103.06;8388.36;17378.4;0.6;0.6;0.5;0.5
2008;0.6;3137.19;8689.68;17725.97;0.6;0.6;0.5;0.5
2009;0.6;3193.66;8984.52;18080.49;0.6;0.6;0.5;0.5
2010;0.6;3251.15;9002.18;18442.1;0.6;0.6;0.5;0.5
2011;0.6;3309.67;9052.11;18810.94;0.6;0.6;0.5;0.5
2012;0.6;3369.24;9181.34;19187.16;0.6;0.6;0.5;0.5
2013;0.6;3429.89;9339.9;19570.9;0.6;0.6;0.5;0.5
2014;0.6;3491.62;9501.19;19962.32;0.6;0.6;0.5;0.5
2015;0.6;3554.47;9676.01;20361.57;0.6;0.6;0.5;0.5
2016;0.6;3618.45;9854.05;20768.8;0.6;0.6;0.5;0.5
2017;0.6;3683.59;10035.36;21184.17;0.6;0.6;0.5;0.5
2018;0.6;3749.89;10220.01;21607.86;0.6;0.6;0.5;0.5
2019;0.6;3817.39;10408.06;22040.01;0.6;0.6;0.5;0.5
2020;0.6;3886.1;10599.57;22480.81;0.6;0.6;0.5;0.5
2021;0.6;3956.05;10794.6;22930.43;0.6;0.6;0.5;0.5
2022;0.6;4027.26;10988.91;23389.04;0.6;0.6;0.5;0.5
2023;0.6;4099.75;11153.74;23856.82;0.6;0.6;0.5;0.5
2024;0.6;4173.55;11323.83;24333.96;0.6;0.6;0.5;0.5
2025;0.6;4248.67;11496.52;24820.63;0.6;0.6;0.5;0.5
2026;0.6;4325.15;11671.84;25317.05;0.6;0.6;0.5;0.5
2027;0.6;4403;11849.84;25823.39;0.6;0.6;0.5;0.5
2028;0.6;4482.25;12030.55;26339.86;0.6;0.6;0.5;0.5
2029;0.6;4562.93;12214.02;26866.65;0.6;0.6;0.5;0.5
2030;0.6;4645.07;12400.28;27403.99;0.6;0.6;0.5;0.5
2031;0.6;4728.68;12589.38;27952.07;0.6;0.6;0.5;0.5
2032;0.6;4813.79;12781.37;28511.11;0.6;0.6;0.5;0.5
2033;0.6;4900.44;12976.29;29081.33;0.6;0.6;0.5;0.5
2034;0.6;4988.65;13174.18;29662.96;0.6;0.6;0.5;0.5
