;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0;1428;1420;1384;1354;1325;1298;1271;1246;1221;1199;1176;1154;1132;1110;1088;1067;1047;1027;1008;990;973;957;942;927;913;899;886;872;859;846;833;820;807;794;780;766;753;739;726;713;699;686;674;661;649;637;625;614;603;593;582;573;563;554
1;302;298;293;283;274;265;257;249;241;234;227;221;214;208;202;196;190;184;179;174;169;164;160;155;151;147;144;140;136;133;130;126;123;120;116;113;110;107;104;101;98;95;92;90;87;85;82;80;78;75;73;71;69;67
2;107;106;104;102;98;94;91;87;84;81;79;76;74;71;69;66;64;62;60;58;56;54;52;51;49;48;46;45;44;42;41;40;39;37;36;35;34;33;32;31;30;29;28;27;26;25;24;24;23;22;21;21;20;19
3;62;60;59;57;56;53;51;49;47;45;43;41;40;38;37;35;34;33;31;30;29;28;27;26;25;24;23;22;21;21;20;19;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
4;49;48;46;45;44;43;40;39;37;35;34;32;31;30;29;27;26;25;24;23;22;21;20;19;19;18;17;17;16;15;15;14;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
5;46;44;42;40;40;38;37;35;34;32;31;30;28;27;26;25;24;23;22;21;20;19;18;18;17;16;15;15;14;14;13;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
6;42;40;37;36;34;34;33;32;30;28;27;26;25;24;22;21;20;20;19;18;17;16;15;15;14;14;13;12;12;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
7;41;38;36;34;33;31;31;30;29;27;26;25;24;23;21;21;20;19;18;17;16;16;15;14;14;13;12;12;11;11;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
8;36;36;33;31;30;29;27;27;26;25;24;23;22;21;20;19;18;17;16;16;15;14;14;13;12;12;11;11;10;10;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
9;35;34;34;32;30;28;27;26;26;25;24;23;22;21;20;19;18;17;16;16;15;14;14;13;13;12;11;11;10;10;10;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10;33;32;31;31;29;27;26;25;24;24;23;22;21;20;20;19;18;17;17;16;15;15;14;13;13;12;12;11;11;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
11;40;38;37;36;36;34;32;31;30;29;28;27;27;25;24;23;22;21;21;20;19;18;18;17;16;16;15;14;14;13;13;12;12;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
12;44;43;42;41;40;40;38;36;35;34;32;32;31;31;29;28;27;26;25;24;24;23;22;21;20;20;19;18;18;17;16;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
13;56;56;55;53;52;51;51;49;47;45;44;42;42;41;40;39;38;36;35;34;33;32;31;30;29;28;27;26;25;25;24;23;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;23;23;23;23;23;23;23
14;70;69;69;69;66;66;65;66;63;61;59;58;56;56;56;55;53;52;50;49;48;47;45;44;43;42;41;40;39;38;37;36;35;35;34;33;32;32;31;30;30;29;28;28;27;27;26;25;25;24;24;26;26;25
