;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390;-390
1;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104;-104
2;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335
3;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808;808
4;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937
5;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923;923
6;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876;876
7;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919;919
8;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945;945
9;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985;985
10;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045
11;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134
12;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198;1198
13;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236;1236
14;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297
15;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423;1423
16;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506;1506
17;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576;1576
18;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383;1383
19;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071;1071
20;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734
21;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585
22;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683
23;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780;780
24;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884;884
25;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962;962
26;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130;1130
27;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448;1448
