;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838;-838
1;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453;-453
2;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190
3;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924;924
4;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183;1183
5;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217;1217
6;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159;1159
7;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245;1245
8;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293;1293
9;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385
