;TauxMalSP;TauxMalTot;TauxAGFF tranche 1;TauxAGFF tranche 2;TauxAssedic;TauxCSGSal;TauxCSGRet;SeuilExoCSG
1930;0;0;0;0;0;0;0;0
1931;0;0;0;0;0;0;0;0
1932;0;0;0;0;0;0;0;0
1933;0;0;0;0;0;0;0;0
1934;0;0;0;0;0;0;0;0
1935;0;0;0;0;0;0;0;0
1936;0;0;0;0;0;0;0;0
1937;0;0;0;0;0;0;0;0
1938;0;0;0;0;0;0;0;0
1939;0;0;0;0;0;0;0;0
1940;0;0;0;0;0;0;0;0
1941;0;0;0;0;0;0;0;0
1942;0;0;0;0;0;0;0;0
1943;0;0;0;0;0;0;0;0
1944;0;0;0;0;0;0;0;0
1945;0;0;0;0;0;0;0;0
1946;0;0;0;0;0;0;0;0
1947;0;0;0;0;0;0;0;0
1948;0;0;0;0;0;0;0;0
1949;0;0;0;0;0;0;0;0
1950;0.03;0;0;0;0;0;0;0
1951;0.03;0;0;0;0;0;0;0
1952;0.03;0;0;0;0;0;0;0
1953;0.03;0;0;0;0;0;0;0
1954;0.03;0;0;0;0;0;0;0
1955;0.03;0;0;0;0;0;0;0
1956;0.03;0;0;0;0;0;0;0
1957;0.03;0;0;0;0;0;0;0
1958;0.03;0;0;0;0;0;0;0
1959;0.03;0;0;0;0.002;0;0;0
1960;0.03;0;0;0;0.002;0;0;0
1961;0.03;0;0;0;0.002;0;0;0
1962;0.03;0;0;0;0.0005;0;0;0
1963;0.03;0;0;0;0.0005;0;0;0
1964;0.03;0;0;0;0.0005;0;0;0
1965;0.03;0;0;0;0.0005;0;0;0
1966;0.03;0;0;0;0.0005;0;0;0
1967;0.0288;0.0025;0;0;0.0005;0;0;0
1968;0.025;0.01;0;0;0.0007;0;0;0
1969;0.025;0.01;0;0;0.0008;0;0;0
1970;0.025;0.01;0;0;0.0008;0;0;0
1971;0.025;0.01;0;0;0.0008;0;0;0
1972;0.025;0.01;0;0;0.0008;0;0;0
1973;0.025;0.01;0;0;0.0014;0;0;0
1974;0.025;0.01;0;0;0.0016;0;0;0
1975;0.025;0.01;0;0;0.0042;0;0;0
1976;0.0263;0.015;0;0;0.0048;0;0;0
1977;0.03;0.015;0;0;0.0044;0;0;0
1978;0.03;0.015;0;0;0.0056;0;0;0
1979;0.01;0.039;0;0;0.0078;0;0;0
1980;0;0.055;0;0;0.0084;0;0;0
1981;0;0.0475;0;0;0.0084;0;0;0
1982;0;0.055;0;0;0.0092;0;0;0
1983;0;0.055;0;0;0.0152;0;0;0
1984;0;0.055;0;0;0.0187;0;0;0
1985;0;0.055;0;0;0.0205;0;0;0
1986;0;0.055;0;0;0.0231;0;0;0
1987;0;0.057;0;0;0.0231;0;0;0
1988;0;0.059;0;0;0.0247;0;0;0
1989;0;0.059;0;0;0.0247;0;0;0
1990;0;0.059;0;0;0.0245;0;0;0
1991;0;0.0635;0;0;0.0233;0.0096;0;0
1992;0;0.068;0;0;0.0256;0.0105;0;0
1993;0;0.068;0;0;0.0294;0.0166;0;0
1994;0;0.068;0;0;0.0322;0.0228;0;0
1995;0;0.068;0;0;0.0322;0.0228;0;0
1996;0;0.068;0;0;0.0322;0.0272;0;0
1997;0;0.055;0;0;0.0301;0.0371;0;0
1998;0;0.0075;0;0;0.0301;0.076;0.068;7895
1999;0;0.0075;0;0;0.0301;0.076;0.068;8037
2000;0;0.0075;0;0;0.0301;0.076;0.068;8182
2001;0;0.0075;0.006;0.006;0.023;0.076;0.068;8329
2002;0;0.0075;0.008;0.009;0.0205;0.076;0.068;8479
2003;0;0.0075;0.008;0.009;0.024;0.076;0.068;8632
2004;0;0.0075;0.008;0.009;0.024;0.076;0.068;8787
2005;0;0.0075;0.008;0.009;0.024;0.0776;0.068;8945
2006;0;0.0075;0.008;0.009;0.0244;0.0776;0.068;9106
2007;0;0.0075;0.008;0.009;0.024;0.0776;0.068;9270
